Name,City,Country,Best For,Cuisine ,Price
Rino,Como,Italy,L & D,Italian,$$
Gibsons Italia,"Chicago, IL",USA,L & D,Italian,$$$
La Huella,Punta del Este ,Uruguay,Lunch,Mediterranean ,$$
Equator Coffees,"San Francisco, CA ",USA,Brunch,Coffee,$
GW Fins,"New Orleans, LA",USA,Dinner,Seafood,$$$
Restaurant Patrick Guilbaud,Dublin,Ireland,L & D,Fine Dining,$$$$
Midwood Smokehouse,"Charlotte, NC ",USA,L & D,Barbeque ,$$
Zareen's,"Palo Alto, CA",USA,L & D,Indian,$$
Ristorante La Giostra,Florence,Italy,L & D,Italian,$$$
Tikky Cafe,Chiang Mai,Thailand,"B, L, & D",Thai,$
Pho Vi Hoa,"Los Altos, CA",USA,L & D,Vietnamese,$
